节点,X坐标,Y坐标,U位移,V位移
221,23.7954,1.38269,-9.09715e-007,-0.00011063
222,23.6549,2.26248,5.88007e-006,-0.000109548
223,23.2328,3,1.15134e-005,-0.000106314
224,24.6755,0.83648,-5.19771e-006,-0.000117539
225,25.3657,0,-1.18635e-005,-0.000123026
226,24.8279,1.92199,3.309e-006,-0.000118734
227,24.1423,3,1.16837e-005,-0.000113381
228,26.1211,1.11447,-3.06476e-006,-0.00012902
229,26.8504,0,-1.2012e-005,-0.000134896
230,26.1174,2.16759,5.30468e-006,-0.000129004
231,25.3657,3,1.18512e-005,-0.000123026
232,27.7059,0.952246,-4.40348e-006,-0.000141786
233,28.4252,0,-1.21118e-005,-0.000147621
234,27.314,1.98578,3.89023e-006,-0.000138618
235,26.8504,3,1.20104e-005,-0.000134898
236,28.9886,0.950325,-4.43745e-006,-0.000152192
237,30,0,-1.21424e-005,-0.000160423
238,28.7382,1.89601,3.19091e-006,-0.000150155
239,28.4252,3,1.21062e-005,-0.000147621
240,30,1.5,-1.15049e-009,-0.000160407
241,30,3,1.21361e-005,-0.00016042
